Rainfall - (MM), Year, Statistics, Country, ISO3
55.7448, 1901, Jan Average, Afghanistan, AFG
13.948, 1901, Feb Average, Afghanistan, AFG
43.8464, 1901, Mar Average, Afghanistan, AFG
26.961, 1901, Apr Average, Afghanistan, AFG
52.9579, 1901, May Average, Afghanistan, AFG
16.6465, 1901, Jun Average, Afghanistan, AFG
7.38656, 1901, Jul Average, Afghanistan, AFG
0.59306, 1901, Aug Average, Afghanistan, AFG
4.82593, 1901, Sep Average, Afghanistan, AFG
11.4972, 1901, Oct Average, Afghanistan, AFG
8.61022, 1901, Nov Average, Afghanistan, AFG
7.90607, 1901, Dec Average, Afghanistan, AFG
24.1121, 1902, Jan Average, Afghanistan, AFG
20.8288, 1902, Feb Average, Afghanistan, AFG
41.8576, 1902, Mar Average, Afghanistan, AFG
29.9279, 1902, Apr Average, Afghanistan, AFG
8.98336, 1902, May Average, Afghanistan, AFG
5.35169, 1902, Jun Average, Afghanistan, AFG
3.15428, 1902, Jul Average, Afghanistan, AFG
1.11072, 1902, Aug Average, Afghanistan, AFG
2.2639, 1902, Sep Average, Afghanistan, AFG
19.8042, 1902, Oct Average, Afghanistan, AFG
43.1489, 1902, Nov Average, Afghanistan, AFG
18.7537, 1902, Dec Average, Afghanistan, AFG
49.3334, 1903, Jan Average, Afghanistan, AFG
45.6953, 1903, Feb Average, Afghanistan, AFG
69.7291, 1903, Mar Average, Afghanistan, AFG
33.0954, 1903, Apr Average, Afghanistan, AFG
60.6917, 1903, May Average, Afghanistan, AFG
7.62944, 1903, Jun Average, Afghanistan, AFG
5.63623, 1903, Jul Average, Afghanistan, AFG
4.65012, 1903, Aug Average, Afghanistan, AFG
7.45214, 1903, Sep Average, Afghanistan, AFG
0.8791, 1903, Oct Average, Afghanistan, AFG
9.91327, 1903, Nov Average, Afghanistan, AFG
19.8138, 1903, Dec Average, Afghanistan, AFG
67.9221, 1904, Jan Average, Afghanistan, AFG
23.6132, 1904, Feb Average, Afghanistan, AFG
80.0829, 1904, Mar Average, Afghanistan, AFG
26.0583, 1904, Apr Average, Afghanistan, AFG
29.9485, 1904, May Average, Afghanistan, AFG
0.65549, 1904, Jun Average, Afghanistan, AFG
3.95575, 1904, Jul Average, Afghanistan, AFG
3.1932, 1904, Aug Average, Afghanistan, AFG
10.454, 1904, Sep Average, Afghanistan, AFG
16.7642, 1904, Oct Average, Afghanistan, AFG
17.9043, 1904, Nov Average, Afghanistan, AFG
18.2342, 1904, Dec Average, Afghanistan, AFG
65.5861, 1905, Jan Average, Afghanistan, AFG
32.616, 1905, Feb Average, Afghanistan, AFG
64.7628, 1905, Mar Average, Afghanistan, AFG
27.6942, 1905, Apr Average, Afghanistan, AFG
19.1447, 1905, May Average, Afghanistan, AFG
5.04219, 1905, Jun Average, Afghanistan, AFG
1.58474, 1905, Jul Average, Afghanistan, AFG
1.03713, 1905, Aug Average, Afghanistan, AFG
6.96228, 1905, Sep Average, Afghanistan, AFG
1.07818, 1905, Oct Average, Afghanistan, AFG
3.42445, 1905, Nov Average, Afghanistan, AFG
41.2052, 1905, Dec Average, Afghanistan, AFG
21.4617, 1906, Jan Average, Afghanistan, AFG
96.1208, 1906, Feb Average, Afghanistan, AFG
51.8554, 1906, Mar Average, Afghanistan, AFG
43.2336, 1906, Apr Average, Afghanistan, AFG
18.4308, 1906, May Average, Afghanistan, AFG
4.62089, 1906, Jun Average, Afghanistan, AFG
4.62117, 1906, Jul Average, Afghanistan, AFG
5.87336, 1906, Aug Average, Afghanistan, AFG
3.08521, 1906, Sep Average, Afghanistan, AFG
3.47906, 1906, Oct Average, Afghanistan, AFG
5.81417, 1906, Nov Average, Afghanistan, AFG
33.0802, 1906, Dec Average, Afghanistan, AFG
51.3601, 1907, Jan Average, Afghanistan, AFG
49.8828, 1907, Feb Average, Afghanistan, AFG
41.55, 1907, Mar Average, Afghanistan, AFG
56.4171, 1907, Apr Average, Afghanistan, AFG
32.2363, 1907, May Average, Afghanistan, AFG
13.1965, 1907, Jun Average, Afghanistan, AFG
6.88764, 1907, Jul Average, Afghanistan, AFG
4.17896, 1907, Aug Average, Afghanistan, AFG
3.42643, 1907, Sep Average, Afghanistan, AFG
14.6192, 1907, Oct Average, Afghanistan, AFG
7.99659, 1907, Nov Average, Afghanistan, AFG
4.84096, 1907, Dec Average, Afghanistan, AFG
80.3858, 1908, Jan Average, Afghanistan, AFG
37.6062, 1908, Feb Average, Afghanistan, AFG
48.7997, 1908, Mar Average, Afghanistan, AFG
79.586, 1908, Apr Average, Afghanistan, AFG
13.8888, 1908, May Average, Afghanistan, AFG
4.17761, 1908, Jun Average, Afghanistan, AFG
9.28017, 1908, Jul Average, Afghanistan, AFG
7.96612, 1908, Aug Average, Afghanistan, AFG
6.8751, 1908, Sep Average, Afghanistan, AFG
2.85977, 1908, Oct Average, Afghanistan, AFG
1.30171, 1908, Nov Average, Afghanistan, AFG
39.3343, 1908, Dec Average, Afghanistan, AFG
33.3713, 1909, Jan Average, Afghanistan, AFG
57.0135, 1909, Feb Average, Afghanistan, AFG
47.2142, 1909, Mar Average, Afghanistan, AFG
63.6401, 1909, Apr Average, Afghanistan, AFG
24.3855, 1909, May Average, Afghanistan, AFG
